04-09-2014 17:38:56, 127.0.0.1, hot, my_birthday, the_beach, a_supermodel, Dubai, United Arab Emirates, no errors
04-09-2014 17:45:06, 127.0.0.1, dry, new_years, resort_life, a_supermodel, Dubai, United Arab Emirates, no errors
04-09-2014 17:48:01, 127.0.0.1, dry, spring_break, inner_peace, my_boyfriend, Lake Havasu, Arizona, no errors
04-09-2014 17:53:27, 127.0.0.1, dry, the_hell_of_it, an_adventure, my_best_friend_s_, Dubai, United Arab Emirates, no errors
04-09-2014 17:59:09, 127.0.0.1, hot, my_birthday, culture, the_cool_kids, Las Vegas, Nevada, no errors
04-09-2014 18:00:50, 127.0.0.1, humid, my_wedding, culture, my_best_friend_s_, Rome, Italy, no errors
04-09-2014 18:03:44, 127.0.0.1, hot, spring_break, the_great_outdoors, the_kid_s_, Lake Havasu, Arizona, no errors
04-09-2014 18:05:29, 127.0.0.1, hot, my_birthday, an_adventure, my_wife, Las Vegas, Nevada, no errors
04-09-2014 18:16:26, 127.0.0.1, cold, the_hell_of_it, inner_peace, my_wife, Machu Picchu, Peru, no errors
04-09-2014 18:17:35, 127.0.0.1, hot, my_wedding, the_great_outdoors, my_wife, Livingstone, Zambia, no errors
04-09-2014 18:19:14, 127.0.0.1, cold, spring_break, inner_peace, the_kid_s_, Antarctica, no errors
04-09-2014 18:19:58, 127.0.0.1, dry, spring_break, the_great_outdoors, my_mom, Lake Havasu, Arizona, no errors
04-09-2014 19:33:57, 127.0.0.1, dry, spring_break, the_great_outdoors, the_kid_s_, Lake Havasu, Arizona, no errors
04-09-2014 19:35:49, 127.0.0.1, humid, the_hell_of_it, an_adventure, my_boyfriend, Monte Verde Cloud Forest, Costa Rica, no errors
04-09-2014 19:36:44, 127.0.0.1, humid, my_wedding, partying, a_supermodel, Rio de Janeiro, Brazil, no errors
04-09-2014 19:42:01, 127.0.0.1, dry, my_wedding, the_great_outdoors, the_kid_s_, Palm Springs, California, no errors
04-09-2014 19:42:26, 127.0.0.1, dry, my_birthday, the_great_outdoors, the_kid_s_, Lake Havasu, Arizona, no errors
04-09-2014 19:45:00, 127.0.0.1, cold, spring_break, local_customs, my_husband, Vik i Myrdal, Iceland, no errors
04-09-2014 19:51:45, 127.0.0.1, dry, spring_break, an_adventure, my_boyfriend, Lake Havasu, Arizona, no errors
04-09-2014 20:06:13, 127.0.0.1, dry, spring_break, inner_peace, the_kid_s_, Lake Havasu, Arizona, no errors
04-09-2014 20:08:28, 127.0.0.1, dry, spring_break, the_great_outdoors, the_kid_s_, Lake Havasu, Arizona, no errors
04-09-2014 20:14:37, 127.0.0.1, cold, my_birthday, the_great_outdoors, the_kid_s_, Vik i Myrdal, Iceland, no errors
04-09-2014 20:30:57, 127.0.0.1, dry, the_hell_of_it, an_adventure, the_kid_s_, Livingstone, Zambia, no errors
04-09-2014 20:46:57, 127.0.0.1, cold, spring_break, freedom, my_wife, Vik i Myrdal, Iceland, no errors
04-09-2014 20:49:07, 127.0.0.1, dry, spring_break, an_adventure, my_boyfriend, Lake Havasu, Arizona, no errors
04-10-2014 14:25:36, 127.0.0.1, crowded, spring_break, inner_peace, my_boyfriend, Sydney, Australia, no errors
04-14-2014 20:49:15, 127.0.0.1, cold, spring_break, the_great_outdoors, my_boyfriend, Vik i Myrdal, Iceland, no errors
04-14-2014 20:49:40, 127.0.0.1, dry, spring_break, freedom, my_boyfriend, Lake Havasu, Arizona, no errors
04-14-2014 20:51:37, 127.0.0.1, cold, my_birthday, inner_peace, my_boyfriend, Machu Picchu, Peru, no errors
02-27-2015 17:12:49, 127.0.0.1, dangerous, spring_break, new_beginnings, the_kid_s_, Antarctica, no errors
